,Data,Time,con_sk
504,22.01.2019,0:00:00,660.0
505,22.01.2019,1:00:00,633.0
506,22.01.2019,2:00:00,602.0
507,22.01.2019,3:00:00,583.0
508,22.01.2019,4:00:00,592.0
509,22.01.2019,5:00:00,571.0
510,22.01.2019,6:00:00,567.0
511,22.01.2019,7:00:00,625.0
512,22.01.2019,8:00:00,708.0
513,22.01.2019,9:00:00,716.0
514,22.01.2019,10:00:00,713.0
515,22.01.2019,11:00:00,698.0
516,22.01.2019,12:00:00,700.0
517,22.01.2019,13:00:00,684.0
518,22.01.2019,14:00:00,666.0
519,22.01.2019,15:00:00,673.0
520,22.01.2019,16:00:00,657.0
521,22.01.2019,17:00:00,668.0
522,22.01.2019,18:00:00,692.0
523,22.01.2019,19:00:00,765.0
524,22.01.2019,20:00:00,794.0
525,22.01.2019,21:00:00,783.0
526,22.01.2019,22:00:00,748.0
527,22.01.2019,23:00:00,698.0
528,23.01.2019,0:00:00,642.0
529,23.01.2019,1:00:00,576.0
530,23.01.2019,2:00:00,604.0
531,23.01.2019,3:00:00,588.0
532,23.01.2019,4:00:00,584.0
533,23.01.2019,5:00:00,594.0
534,23.01.2019,6:00:00,634.0
535,23.01.2019,7:00:00,638.0
536,23.01.2019,8:00:00,710.0
537,23.01.2019,9:00:00,710.0
538,23.01.2019,10:00:00,710.0
539,23.01.2019,11:00:00,636.0
540,23.01.2019,12:00:00,682.0
541,23.01.2019,13:00:00,681.0
542,23.01.2019,14:00:00,668.0
543,23.01.2019,15:00:00,655.0
544,23.01.2019,16:00:00,693.0
545,23.01.2019,17:00:00,653.0
546,23.01.2019,18:00:00,692.0
547,23.01.2019,19:00:00,781.0
548,23.01.2019,20:00:00,797.0
549,23.01.2019,21:00:00,755.0
550,23.01.2019,22:00:00,743.0
551,23.01.2019,23:00:00,708.0
552,24.01.2019,0:00:00,651.0
553,24.01.2019,1:00:00,598.0
554,24.01.2019,2:00:00,586.0
555,24.01.2019,3:00:00,584.0
556,24.01.2019,4:00:00,602.0
557,24.01.2019,5:00:00,582.0
558,24.01.2019,6:00:00,611.0
559,24.01.2019,7:00:00,622.0
560,24.01.2019,8:00:00,699.0
561,24.01.2019,9:00:00,738.0
562,24.01.2019,10:00:00,699.0
563,24.01.2019,11:00:00,705.0
564,24.01.2019,12:00:00,643.0
565,24.01.2019,13:00:00,659.0
566,24.01.2019,14:00:00,689.0
567,24.01.2019,15:00:00,700.0
568,24.01.2019,16:00:00,688.0
569,24.01.2019,17:00:00,667.0
570,24.01.2019,18:00:00,717.0
571,24.01.2019,19:00:00,806.0
572,24.01.2019,20:00:00,816.0
573,24.01.2019,21:00:00,736.0
574,24.01.2019,22:00:00,729.0
575,24.01.2019,23:00:00,722.0
576,25.01.2019,0:00:00,663.0
577,25.01.2019,1:00:00,618.0
578,25.01.2019,2:00:00,600.0
579,25.01.2019,3:00:00,626.0
580,25.01.2019,4:00:00,583.0
581,25.01.2019,5:00:00,613.0
582,25.01.2019,6:00:00,598.0
583,25.01.2019,7:00:00,590.0
584,25.01.2019,8:00:00,702.0
585,25.01.2019,9:00:00,734.0
586,25.01.2019,10:00:00,694.0
587,25.01.2019,11:00:00,664.0
588,25.01.2019,12:00:00,673.0
589,25.01.2019,13:00:00,699.0
590,25.01.2019,14:00:00,675.0
591,25.01.2019,15:00:00,653.0
592,25.01.2019,16:00:00,676.0
593,25.01.2019,17:00:00,676.0
594,25.01.2019,18:00:00,679.0
595,25.01.2019,19:00:00,766.0
596,25.01.2019,20:00:00,799.0
597,25.01.2019,21:00:00,775.0
598,25.01.2019,22:00:00,758.0
599,25.01.2019,23:00:00,701.0
600,26.01.2019,0:00:00,698.0
601,26.01.2019,1:00:00,585.0
602,26.01.2019,2:00:00,554.0
603,26.01.2019,3:00:00,595.0
604,26.01.2019,4:00:00,561.0
605,26.01.2019,5:00:00,569.0
606,26.01.2019,6:00:00,617.0
607,26.01.2019,7:00:00,650.0
608,26.01.2019,8:00:00,673.0
609,26.01.2019,9:00:00,690.0
610,26.01.2019,10:00:00,674.0
611,26.01.2019,11:00:00,670.0
612,26.01.2019,12:00:00,681.0
613,26.01.2019,13:00:00,666.0
614,26.01.2019,14:00:00,613.0
615,26.01.2019,15:00:00,653.0
616,26.01.2019,16:00:00,664.0
617,26.01.2019,17:00:00,648.0
618,26.01.2019,18:00:00,704.0
619,26.01.2019,19:00:00,776.0
620,26.01.2019,20:00:00,813.0
621,26.01.2019,21:00:00,776.0
622,26.01.2019,22:00:00,757.0
623,26.01.2019,23:00:00,712.0
624,27.01.2019,0:00:00,680.0
625,27.01.2019,1:00:00,631.0
626,27.01.2019,2:00:00,573.0
627,27.01.2019,3:00:00,585.0
628,27.01.2019,4:00:00,586.0
629,27.01.2019,5:00:00,591.0
630,27.01.2019,6:00:00,565.0
631,27.01.2019,7:00:00,598.0
632,27.01.2019,8:00:00,630.0
633,27.01.2019,9:00:00,654.0
634,27.01.2019,10:00:00,646.0
635,27.01.2019,11:00:00,627.0
636,27.01.2019,12:00:00,643.0
637,27.01.2019,13:00:00,646.0
638,27.01.2019,14:00:00,623.0
639,27.01.2019,15:00:00,639.0
640,27.01.2019,16:00:00,665.0
641,27.01.2019,17:00:00,689.0
642,27.01.2019,18:00:00,705.0
643,27.01.2019,19:00:00,766.0
644,27.01.2019,20:00:00,803.0
645,27.01.2019,21:00:00,802.0
646,27.01.2019,22:00:00,830.0
647,27.01.2019,23:00:00,688.0
648,28.01.2019,0:00:00,678.0
649,28.01.2019,1:00:00,679.0
650,28.01.2019,2:00:00,612.0
651,28.01.2019,3:00:00,614.0
652,28.01.2019,4:00:00,601.0
653,28.01.2019,5:00:00,589.0
654,28.01.2019,6:00:00,586.0
655,28.01.2019,7:00:00,587.0
656,28.01.2019,8:00:00,688.0
657,28.01.2019,9:00:00,724.0
658,28.01.2019,10:00:00,713.0
659,28.01.2019,11:00:00,692.0
660,28.01.2019,12:00:00,701.0
661,28.01.2019,13:00:00,677.0
662,28.01.2019,14:00:00,654.0
663,28.01.2019,15:00:00,652.0
664,28.01.2019,16:00:00,700.0
665,28.01.2019,17:00:00,687.0
666,28.01.2019,18:00:00,675.0
667,28.01.2019,19:00:00,725.0
668,28.01.2019,20:00:00,743.0
